관측소명,GENNUM,관측소표준코드,최초설치,구분,설치년도,경도-도,경도-분,경도-초,위도-도,위도-분,위도-초,표고(El.m),심도(m)
임실덕치,514702,JB-ISL-L1-0007,국가,충적,2001,127,9,6,35,28,14,196.6,10.36
임실관촌,771366,,국가,암반,2021,,,,,,,,
임실쌍암,,JB-ISL-E1-0002,수질,심부1,2011,127,9,30.33,35,39,50.28,220,32
임실쌍암,769819,JB-ISL-E1-0003,수질,심부2,2011,127,9,30.33,35,39,50.28,220,80
임실쌍암,769820,JB-ISL-E1-0001,수질,천부,2011,127,9,30.33,35,39,50.28,220,13
임실오수,514310,JB-ISL-L1-0004,국가,암반,2010,127,19,38,35,31,39,116.75,100
임실오수,514311,JB-ISL-L1-0005,국가,충적,2010,127,19,37,35,31,37,116.75,15
임실오수2,,JB-ISL-E1-0005,수질,심부1,2017,127,19,58.9,35,32,43.84,123.882,30
임실오수2,737688,JB-ISL-E1-0006,수질,심부2,2017,127,19,58.9,35,32,43.84,123.718,80
임실오수2,737687,JB-ISL-E1-0004,수질,천부,2017,127,19,58.9,35,32,43.84,123.971,10
임실임실,9906,JB-ISL-L1-0001,국가,암반,1997,127,17,43,35,37,22,222.2,69
장성남면,73528,JN-JSG-L1-0003,국가,암반,2001,126,48,54,35,14,39,40.992,70
장성남면,73529,JN-JSG-L1-0004,국가,충적,2001,126,48,54,35,14,39,40.988,14
장성북이,82037,JN-JSG-L1-0005,국가,암반,2002,126,48,8,35,23,56,84.893,70
장성북이,82038,JN-JSG-L1-0006,국가,충적,2002,126,48,8,35,23,56,84.877,10
장성분향,,JN-JSG-E1-0002,수질,심부1,2010,126,48,44.21,35,14,35.92,35.1,33
장성분향,769821,JN-JSG-E1-0003,수질,심부2,2010,126,48,44.21,35,14,35.92,35.1,80
장성분향,769822,JN-JSG-E1-0001,수질,천부,2010,126,48,44.21,35,14,35.92,35.1,11.5
장성삼계,622082,JN-JSG-L1-0007,국가,암반,2014,126,37,13,35,18,2,228.48,176
장성아곡,,JN-JSG-E1-0008,수질,심부1,2014,,,,,,,92,30
장성아곡,771517,JN-JSG-E1-0009,수질,심부2,2014,,,,,,,92,80
장성아곡,771518,JN-JSG-E1-0007,수질,천부,2014,,,,,,,92,10
장성약수,,JN-JSG-E1-0005,수질,심부1,2014,,,,,,,139,31
장성약수,771519,JN-JSG-E1-0006,수질,심부2,2014,,,,,,,139,80
장성약수,771520,JN-JSG-E1-0004,수질,천부,2014,,,,,,,139,10
장성영천,,JN-JSG-E1-0011,수질,심부1,2014,,,,,,,194,40
장성영천,771521,JN-JSG-E1-0012,수질,심부2,2014,,,,,,,194,80
장성영천,771520,JN-JSG-E1-0010,수질,천부,2014,,,,,,,194,20
장수번암,73524,JB-JSU-L1-0005,국가,암반,2001,127,29,57,35,32,42,312.363,70
장수산서,9907,JB-JSU-L1-0001,국가,암반,1997,127,23,38,35,34,49,147.4,69
장수산서,9908,JB-JSU-L1-0002,국가,충적,1997,127,23,38,35,34,49,147.38,10.5
장흥신월,,JN-JHG-E1-0002,수질,심부1,2014,,,,,,,124,30
장흥신월,771523,JN-JHG-E1-0003,수질,심부2,2014,,,,,,,124,80
장흥신월,771524,JN-JHG-E1-0001,수질,천부,2014,,,,,,,124,10
장흥장흥,65037,JN-JHG-L1-0001,국가,암반,1998,126,53,24,34,41,7,23.98,64
장흥장흥,65038,JN-JHG-L1-0002,국가,충적,1998,126,53,24,34,41,7,23.98,11.7
제주노형,95534,JJ-JJU-L1-0001,국가,암반,2005,126,29,4,33,26,35,271.17,400
제주동홍,95535,JJ-SGD-L1-0001,국가,암반,2005,126,34,8,33,16,20,187.7,340
제주조천,95537,JJ-JJU-L1-0002,국가,암반,2005,126,43,37,33,25,28,342.6,490
제주한경,95536,JJ-JJU-L1-0003,국가,암반,2005,126,16,21,33,19,8,139.81,400
진도석교,,JN-JHD-E1-0002,수질,심부1,2018,126,11,27.18,34,24,22.51,5.855,30
진도석교,737694,JN-JHD-E1-0003,수질,심부2,2018,126,11,27.18,34,24,22.51,5.795,80
진도석교,737693,JN-JHD-E1-0001,수질,천부,2018,126,11,27.18,34,24,22.51,5.844,10
진도의신,95528,JN-JHD-L1-0001,국가,암반,2005,126,16,53,34,25,45,14.75,70
진안덕현,,JB-JIN-E1-0002,수질,심부1,2014,,,,,,,364,33
